quipper_institution_code,email,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
96,mahadalyriyaduljannah@gmail.com,Ma'had Aly Riyadul Jannah,Lainnya,https://campus.quipper.com/directory/mahad-aly-riyadul-jannah,Rp 150.000 per semester,95,20,"{""website"": ""asshiddiqiyah2.com"", ""email"": ""mahadalyriyaduljannah@gmail.com"", ""phone"": ""081280499053""}","Ma'had Aly Riyadul Jannah adalah sebuah lembaga pendidikan tinggi pesantren yang didirikan di Pondok Pesantren Asshiddiqiiyah 2 oleh KH. Muhammad Ulil Abshor, Al-Hafidz, Lc., atas restu Ayahanda Dr. KH. Noer Muhammad Iskandar, S.Q. Bermula dari sebuah kelas takhasus yang kini para alumninya sudah diterima di berbagai kampus di Timur Tengah seperti Mesir, Turki, Yaman, Maroko dan lainnya.",{}
97,humas@idu.ac.id,Universitas Pertahanan,Universitas Negeri,https://campus.quipper.com/directory/universitas-pertahanan,Gratis,1496,358,"{""website"": ""www.idu.ac.id"", ""email"": ""humas@idu.ac.id"", ""phone"": ""021-87951555 ext. 7229/7224/7211/7001""}","Universitas Pertahanan (Unhan) atau Indonesia Defense University (IDU) diresmikan pada tanggal 11 Maret 2009 oleh presiden ke-6 Republik Indonesia, Susilo Bambang Yudhoyono. Unhan menyelenggarakan pendidikan Ilmu Pertahanan, mulai dari jenjang sarjana, magister, hingga doktor. Selain perwira Tentara Nasional Indonesia (TNI), masyarakat umum juga bisa mengenyam pendidikan di kampus ini. 
Meskipun masih berusia muda, Universitas Pertahanan memiliki perkembangan yang pesat, salah satunya telah meraih akreditasi A oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT). Selain itu, kampus ini telah menjalin kerja sama dengan berbagai lembaga pendidikan dari luar negeri, seperti Cranfield University, National Defense University Amerika Serikat, Rajaratnam School of International Studies Singapura, dan lain sebagainya. Keren banget ya, guys!",{}
98,info@poltekkesgorontalo.ac.id,Politeknik Kesehatan Kemenkes Gorontalo,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-kesehatan-kemenkes-gorontalo,Rp2.900.000- Rp3.400.000 per semester,1972,89,"{""website"": ""www.poltekkesgorontalo.ac.id"", ""email"": ""info@poltekkesgorontalo.ac.id"", ""phone"": ""(0435) 8583111""}","Sejarah Politeknik Kesehatan Kemenkes Gorontalo dimulai sejak tahun 1974 dengan pendirian Sekolah Penjenang Kesehatan Ijazah C dan Ijazah E. Namun pada tahun 1978, Sekolah Penjenang Kesehatan dan sejenisnya ditutup dan diubah menjadi Sekolah Perawat Kesehatan. Lalu pada tahun 2001, namanya berubah menjadi Keperawatan Gorontalo dan masuk dalam Politeknik Kesehatan Manado. Dengan banyak pertimbangan, pada tahun 2007 Keperawatan Gorontalo resmi berpisah dari Politeknik Kesehatan Manado dan terbentuklah Politeknik Kesehatan Kemenkes Gorontalo. Saat ini, Politeknik Kesehatan Kemenkes Gorontalo menyediakan program vokasi untuk bidang keperawatan, gizi, kebidanan, dan sanitasi lingkungan.",{}
99,support@stikes-pertamedika.ac.id,Sekolah Tinggi Ilmu Kesehatan Pertamedika,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-pertamina-bina-medika,Rp6.000.000 per semester,1005,48,"{""website"": ""www.stikes-pertamedika.ac.id"", ""email"": ""support@stikes-pertamedika.ac.id"", ""phone"": ""021-7234122, 7207184""}","Para pimpinan Pertamina adalah inisiator dibalik pendirian Sekolah Tinggi Ilmu Kesehatan Pertamina Bina Medika (STIKes Pertamedika). Para mahasiswa ditempa agar memiliki jiwa Pancasila, siap kerja dan mahir menerapkan ilmu pengetahuan di bidang kesehatan. STIKes Pertamedika aktif melakukan serangkaian kegiatan di bidang kesehatan, seperti penelitian ilmiah, memperluas jangkauan pelayanan kesehatan, dan pengiriman tenaga kesehatan profesional di berbagai lokasi yang membutuhkan bantuan.",{}
100,tanahpapua.isbi@gmail.com,Institut Seni Budaya Indonesia Tanah Papua,Institut Negeri,https://campus.quipper.com/directory/institut-seni-budaya-indonesia-tanah-papua,Rp500.000 - Rp650.000 per semester,547,25,"{""website"": ""www.isbi-tanahpapua.ac.id"", ""email"": ""tanahpapua.isbi@gmail.com"", ""phone"": ""082248901511""}","Institut Seni Budaya Indonesia (ISBI) Tanah Papua adalah perguruan tinggi negeri seni yang berdiri pada tahun 2014 dan berada di bawah Kementerian Pendidikan dan Kebudayaan. Pendirian kampus ini merupakan salah satu bentuk kepedulian pemerintah dalam mengembangkan potensi bidang seni dan budaya yang sangat beragam, khususnya di wilayah Papua. Saat ini, ISBI Tanah Papua memiliki 5 program studi jenjang sarjana (S1), yakni Seni Tari, Seni Musik, Seni Rupa Murni, Desain Komunikasi Visual, dan Kriya Seni. ISBI Tanah Papua juga berencana menambah program studi Etnomusikologi, Seni Teater, Tradisi Lisan, Kajian Budaya, serta Warisan Budaya dalam beberapa tahun ke depan sebagai upaya pengembangan institusi.",{}
101,info@iain-jember.ac.id,Institut Agama Islam Negeri (IAIN) Jember,Institut Negeri,https://campus.quipper.com/directory/institut-agama-islam-negeri-jember,Rp400.000 - Rp3.000.000 per semester,3510,255,"{""website"": ""iain-jember.ac.id"", ""email"": ""info@iain-jember.ac.id"", ""phone"": ""0331-487550""}","Institut Agama Islam Negeri (IAIN) Jember merupakan salah satu Perguruan Tinggi Keagamaan Islam Negeri (PTIN) pertama dan terkemuka di wilayah Tapal Kuda. Berbagai sarana dan prasarana pendidikan, Mahad, dan gedung dosen yang megah telah diresmikan oleh Menteri Agama Republik Indonesia pada awal tahun 2017. Saat ini IAIN Jember memiliki 5 fakultas dan 35 program studi.",{}
102,humas@ptiq.ac.id,Institut PTIQ Jakarta,Institut Swasta,https://campus.quipper.com/directory/institut-ptiq-jakarta,Rp1.250.000 - Rp2.500.000 per semester,4788,106,"{""website"": ""www.ptiq.ac.id"", ""email"": ""humas@ptiq.ac.id"", ""phone"": ""(+6221) 7690901""}","Institut Perguruan Tinggi Ilmu Al-Qur’an (Institut PTIQ) Jakarta didirikan pada 1 April 1971 oleh Yayasan Ihya Ulumudin. Namun, pada tanggal 12 Mei 1973 pengelolaan institut ini diserahkan kepada Yayasan Pendidikan Al-Qur’an. Awalnya, PTIQ hanya memiliki dua fakultas yaitu Syariah dan Ushuluddin. Kini PTIQ telah memiliki empat fakultas yaitu Syariah, Ushuluddin, Dakwah, dan Tarbiyah serta telah membuka Program Pascasarjana.",{}
103,humas@upi-yai.ac.id,Universitas Persada Indonesia YAI,Universitas Swasta,https://campus.quipper.com/directory/universitas-persada-indonesia-yai,Rp10.000.000 kisaran per-semester,5449,224,"{""website"": ""www.upi-yai.ac.id"", ""email"": ""humas@upi-yai.ac.id"", ""phone"": ""021-3916000""}","Universitas Persada Indonesia YAI (UPI YAI) merupakan salah satu kampus yang termasuk ke dalam naungan Lembaga Pendidikan Tinggi Yayasan Administrasi Indonesia. Universitas swasta ini memiliki 4 fakultas, yaitu Fakultas Ekonomi & Bisnis, Fakultas Psikologi, Fakultas Teknik, dan Fakultas Ilmu Komunikasi. Berlokasi di pusat kota Jakarta tepatnya di kawasan Diponegoro Jakarta Pusat, kampus ini menyediakan fasilitas lengkap dan modern serta pembelajaran oleh dosen yang qualified. Selain itu, UPI YAI juga banyak menjalin kerja sama dengan kampus internasional, seperti Colorado State University USA, Northern Arizona University USA, The University Of Bucharest Romania, dan lainnya. So, nggak heran jika Universitas Persada Indonesia Y.A.I berhasil meraih akreditasi B oleh BAN-PT, ya, Quipperian.",{}
104,admin@uym.ac.id,Universitas Yatsi Madani,Universitas Swasta,https://campus.quipper.com/directory/universitas-yatsi-madani,Rp5.000.000 per semester,1200,75,"{""website"": ""www.uym.ac.id"", ""email"": ""admin@uym.ac.id"", ""phone"": ""0812-8528-6889""}","Sejak tahun 2006, yayasan dan pengelola STIKes Yatsi Tangerang tergerak untuk mengelola pendidikan di bidang kesehatan yang kompeten namun dengan biaya yang terjangkau. Perkembangan kampus pun berjalan dengan baik hingga pada tahun 2016, STIKes Yatsi mendirikan gedung baru yang dapat menampung sampai 2500 mahasiswa.",{}
105,stabn.radenwijaya@gmail.com,Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,Sekolah Tinggi Negeri,https://campus.quipper.com/directory/sekolah-tinggi-agama-buddha-negeri-raden-wijaya,Rp300.000 - Rp900.000 per semester,174,38,"{""website"": ""https://radenwijaya.ac.id/"", ""email"": ""stabn.radenwijaya@gmail.com"", ""phone"": ""(0273) 323439""}","Sekolah Tinggi Agama Buddha Negeri (STABN) Raden Wijaya berawal dari Sekolah Tinggi Agama Buddha Nusantara Raden Wijaya Wonogiri yang mulai beroperasi di tahun 2007. Seiring berjalannya waktu, kampus yang awalnya berstatus swasta tersebut berubah menjadi negeri di tahun 2011. Pada tahun 2011, STABN Raden Wijaya hanya menyediakan tiga program studi yang terdiri atas Dharmacarya (Pendidikan Agama Buddha), Dharmaduta (Penerangan Agama Buddha), dan Kepanditaan (Rohaniawan Agama Buddha). Saat ini, STABN Raden Wijaya menyediakan program profesi dan enam program sarjana.",{}
106,info@medikasuherman.ac.id,Universitas Medika Suherman,Universitas Swasta,https://campus.quipper.com/directory/universitas-medika-suherman,-,1092,93,"{""website"": ""www.medikasuherman.ac.id"", ""email"": ""info@medikasuherman.ac.id"", ""phone"": ""02189111110""}","Universitas Medika Suherman pada mulanya bernama Sekolah Tinggi Ilmu Kesehatan (STIKes) Medika Cikarang yang didirikan pada tahun 2005. Lalu pada tahun 2018, STIKes Medika Cikarang berubah bentuk menjadi Institut Medika Drg. Suherman. Barulah kemudian pada tahun 2021 resmi menyandang nama Universitas Medika Suherman (UMS) sampai sekarang. Saat ini, UMS memiliki 14 program studi yang terbagi menjadi 3 fakultas. Selain itu, kampus ini juga telah meraih akreditasi B dari Badan Akreditasi Perguruan Tinggi (BAN-PT).",{}
107,info@poltekpel-sby.ac.id,Politeknik Pelayaran Surabaya,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-pelayaran-surabaya,Rp1.800.000 - Rp9.100.000 per semester,1226,73,"{""website"": ""www.poltekpel-sby.ac.id"", ""email"": ""info@poltekpel-sby.ac.id"", ""phone"": ""031-8714673, 8714643""}","Politeknik Pelayaran Surabaya berada di bawah naungan Kementerian Perhubungan Indonesia. Pada awal berdirinya, kampus ini bernama Balai Pendidikan dan Pelatihan Ilmu Pelayaran (BP2IP) Surabaya. Politeknik Pelayaran Surabaya siap mendidik tarunanya menjadi GIAT, yang merupakan akronim dari Gigih, Integritas, Amanah, dan Terampil. Nah, apakah Quipperian sedang mencari kampus di bidang pelayaran? Yuk, kenali kampus ini lebih jauh!",{}
108,081259438226,STAI Ma`had Aly Al-Hikam Malang,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stai-ma-had-aly-al-hikam-malang,Rp847.000-Rp1.600.000 per semester,1424,37,"{""website"": ""www.staima-alhikam.ac.id"", ""email"": ""081259438226"", ""phone"": ""2003@staima-alhikam.ac.id""}","Sekolah Tinggi Agama Islam (STAI) Ma`had Aly Al-Hikam Malang memiliki dua jenjang pendidikan yaitu sarjana dan pascasarjana yang berfokus pada bidang pendidikan agama Islam. STAI Ma'had Aly Al-Hikam membekali santri dengan beberapa kelompok keilmuan, yakni kelompok bahasa (Bahasa Arab, Bahasa Indonesia, dan Bahasa Inggris), kelompok metodologi berpikir, kelompok strategi dakwah dan pendidikan pesantren, serta kelompok wawasan ilmu keislaman tradisional dan kontemporer. Sekolah tinggi ini juga memiliki asrama atau boarding school, lengkap dengan program-program yang telah terjadwal.  Menarik sekali ya, Quipperian!",{}
109,admin@uwp.ac.id,Universitas Wijaya Putra,Universitas Swasta,https://campus.quipper.com/directory/universitas-wijaya-putra,Rp3.000.000-Rp4.200.000 per semester,3351,216,"{""website"": ""www.uwp.ac.id"", ""email"": ""admin@uwp.ac.id"", ""phone"": ""031-7404404, 031-7413061""}","Universitas Wijaya Putra merupakan universitas swasta asal Surabaya yang didirikan oleh Yayasan Pendidikan Wijaya Putra pada tanggal 27 Februari 1981 di bawah naungan Kopertis Wilayah VII Jawa Timur. Punya slogan sebagai ""Research University"", kampus ini memiliki visi dan misi untuk menjadi perguruan tinggi unggul, inovatif, dan bermartabat yang berbasis riset. Secara keseluruhan, kampus ini memiliki 8 fakultas dengan 14 pilihan program studi jenjang sarjana (S1) dan pascasarjana (S2). Segala aktivitas perkuliahan di Universitas Wijaya Putra saat ini berjalan di dua kampus, yaitu Kampus Benowo dan Kampus Wiyung.",{}
110,stakn.palangkaraya2010@gmail.com,Institut Agama Kristen Negeri Palangka Raya,Institut Negeri,https://campus.quipper.com/directory/institut-agama-kristen-negeri-palangka-raya,Rp750.000-Rp4.000.000 per semester,1241,48,"{""website"": ""www.iaknpky.ac.id"", ""email"": ""stakn.palangkaraya2010@gmail.com"", ""phone"": ""0536-3241811, 0536-3241812""}","Sebelum menjadi Institut Agama Kristen Negeri (IAKN) Palangka Raya seperti yang kita kenal sekarang, awalnya kampus ini bernama Akademi Teologi Jurusan Pendidikan Agama Kristen (PAK) yang merupakan bagian dari Akademi Teologi Banjarmasin. Akademi tersebut didirikan pada tahun 1985 oleh Gereja Kalimantan Evangelis (GKE) dengan tujuan menyiapkan tenaga pendidik atau guru agama Kristen yang andal dalam rangka mencerdaskan kehidupan bangsa. Pada tahun 1986, GKE meningkatkan status akademi menjadi Institut Agama Kristen “Eka Sinta” GKE Palangka Raya.",{}
111,"info@ubhara.ac.id, humas@ubhara.ac.id",Universitas Bhayangkara Surabaya,Universitas Swasta,https://campus.quipper.com/directory/universitas-bhayangkara-surabaya,Rp15.370.000-Rp20.132.000 per semester,5775,173,"{""website"": ""www.ubhara.ac.id"", ""email"": ""info@ubhara.ac.id, humas@ubhara.ac.id"", ""phone"": ""031-8285602, 8291055""}","Universitas Bhayangkara (Ubhara) Surabaya didirikan pada 1 Juli 1982 di bawah naungan Yayasan Brata Bhakti Daerah Jawa Timur (YBBDJ). Sejak awal didirikan hingga saat ini, Ubhara Surabaya memiliki empat fakultas yaitu Fakultas Ekonomi, Fakultas Hukum, Fakultas Ilmu Sosial dan Politik, serta Fakultas Teknik. Selain itu, semua program studinya juga telah terakreditasi oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT).",{}
112,info@widyagama.ac.id,Universitas Widya Gama,Universitas Swasta,https://campus.quipper.com/directory/universitas-widya-gama,Rp 3.500.000 - Rp6.000.000 per semester,2868,110,"{""website"": ""www.widyagama.ac.id"", ""email"": ""info@widyagama.ac.id"", ""phone"": ""(0341) 411291""}","Universitas Widyagama didirikan oleh Yayasan Pembina Pendidikan Indonesia (YPPI) pada tahun 1971 dengan nama Akademi Bank Widyagama Malang. Namun, pada tahun 1984 berubah menjadi Sekolah Tinggi Ilmu Ekonomi (STIE) Widyagama dan kemudian di tahun 1985 YPPI sepakat mengubah STIE menjadi Universitas Widya Gama (UWG). Saat ini, UWG memiliki empat fakultas dan satu program pascasarjana dengan berbagai bidang keilmuan.",{}
113,info@iahntp.ac.id,Institut Agama Hindu Negeri Tampung Penyang Palangka Raya,Institut Negeri,https://campus.quipper.com/directory/institut-agama-hindu-negeri-tampung-penyang-palangka-raya,,907,107,"{""website"": ""https://iahntp.ac.id/"", ""email"": ""info@iahntp.ac.id"", ""phone"": ""(0536) 3229942, 3327942""}","Berdirinya Institut Agama Hindu Negeri (IAHN) Tampung Penyang Palangka Raya tidak dapat dipisahkan dari keberadaan Sekolah Pendidikan Guru Agama Hindu (PGAH) Kaharingan Parentas yang telah ada sejak tahun 1983 untuk memenuhi kebutuhan guru tingkat Sekolah Dasar (SD). Kemudian untuk mengatasi kekosongan guru agama Hindu di jenjang pendidikan yang lebih tinggi, pada tahun 1987 didirikan pula Sekolah Tinggi Agama Hindu Kaharingan (STAHK) Tampung Penyang Palangka Raya. Selanjutnya pada tahun 2001, STAHK Tampung Penyang beralih status menjadi Sekolah Tinggi Agama Hindu Negeri (STAHN) Tampung Penyang Palangka Raya. Guna memperluas rumpun Ilmu Agama Hindu dan memenuhi tuntutan perkembangan masyarakat, pada tahun 2018 STAHN berubah menjadi IAHN Tampung Penyang Palangka Raya hingga saat ini.",{}
114,info@uii.ac.id,Universitas Islam Indonesia (UII),Universitas Swasta,https://campus.quipper.com/directory/universitas-islam-indonesia,Rp10.000.000 – Rp15.000.000 per semester (tergantung Program Studi),21264,717,"{""website"": ""www.uii.ac.id | pmb.uii.ac.id"", ""email"": ""info@uii.ac.id"", ""phone"": ""0274-898444""}","Universitas Islam Indonesia (UII) merupakan salah satu kampus swasta yang berlokasi di Yogyakarta yang berdiri pada 8 Juli 1945, satu bulan sebelum proklamasi Republik Indonesia. Pengalaman panjang tersebut, menjadikan UII sebagai pionir pendidikan tinggi di Indonesia yang berlandaskan pada nilai kebangsaan dan keislaman.",{}
115,ipbcirebon.invada@gmail.com,Institut Pendidikan dan Bahasa Invada (IPB Cirebon),Institut Swasta,https://campus.quipper.com/directory/institut-pendidikan-dan-bahasa-invada-ipb-cirebon,Rp3.000.000-Rp4.000.000 per semester,1548,43,"{""website"": ""www.ipbcirebon.ac.id"", ""email"": ""ipbcirebon.invada@gmail.com"", ""phone"": ""083824408999, 089644481187""}","Institut Pendidikan dan Bahasa Invada (IPB Cirebon) resmi didirikan pada tanggal 7 Desember 2021 di bawah Yayasan Invada sebagai bentuk gabungan dari Sekolah Tinggi Ilmu Bahasa Asing dan Sekolah Tinggi Keguruan dan Ilmu Pendidikan Invada. Perubahan status menjadi institut diharapkan dapat meningkatkan mutu dan kualitas pendidikan. Hal ini diwujudkan melalui visi dan misi IPB Cirebon yakni menyelenggarakan program pendidikan, penelitian dan pengabdian kepada masyarakat yang mendukung pengembangan dan penerapan bahasa, teknologi, dan ilmu pengetahuan, meningkatkan kualitas proses pembelajaran dan suasana akademik yang kondusif, serta meningkatkan kerjasama dengan pihak lain baik di dalam dan luar negeri secara multidisipliner.",{}
116,"stabntangerangbanten@kemenag.go.id, stabn.sriwijaya@yahoo.com, info@stabn-sriwijaya.ac.id",Sekolah Tinggi Agama Buddha Negeri Sriwijaya,Sekolah Tinggi Negeri,https://campus.quipper.com/directory/sekolah-tinggi-agama-buddha-negeri-sriwijaya,Rp300.000 - Rp2.500.000 per semester,236,46,"{""website"": ""https://stabn-sriwijaya.ac.id/"", ""email"": ""stabntangerangbanten@kemenag.go.id, stabn.sriwijaya@yahoo.com, info@stabn-sriwijaya.ac.id"", ""phone"": ""02139700717, 08118899116, 08118899117""}","Sekolah Tinggi Agama Buddha (STAB) Sriwijaya resmi didirikan pada tahun 2002 di bawah naungan Yayasan Sriwijaya. Kemudian pada tahun 2005, sekolah ini berubah status menjadi negeri dengan nama Sekolah Tinggi Agama Buddha Negeri (STABN) Sriwijaya. Saat ini, STABN menyediakan tiga jurusan yang terbagi menjadi Dharmacarya, Dharmaduta, serta Ekonomi dan Wirausahaan Buddha yang dapat menjadi pilihan Quipperian dalam melanjutkan studi!",{}
117,informasi@stikesmaharani.ac.id,Sekolah Tinggi Ilmu Kesehatan Maharani,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-maharani,Rp1.050.000-Rp5.700.000 per semester.,772,34,"{""website"": ""www.stikesmaharani.ac.id"", ""email"": ""informasi@stikesmaharani.ac.id"", ""phone"": ""081232268321""}","Sekolah Tinggi Ilmu Kesehatan Maharani adalah salah satu sekolah tinggi swasta yang berlokasi di Kota Malang. Kampus ini berdiri pada tanggal 22 Desember 2006. Hingga saat ini, STIKes Maharani telah memiliki 4 program studi, yaitu Profesi Ners, S1 Keperawatan, D3 Kebidanan, dan D3 Teknologi Laboratorium Medis. STIKes Maharani senantiasa memenuhi kebutuhan belajar mahasiswa untuk menjadi tenaga kesehatan yang berkualitas dan profesional, seperti memfasilitasi kegiatan praktik mahasiswa dengan menyediakan lahan praktik di rumah sakit pemerintah dan swasta, Puskesmas Dinkes Kota Malang, serta Poltekes Depkes Malang.",{}
118,admin@unipasby.ac.id,Universitas PGRI Adi Buana (UNIPA Surabaya),Universitas Swasta,https://campus.quipper.com/directory/universitas-pgri-adi-buana-unipa-surabaya,Rp6.350.000 - Rp8.100.000 per semester,8175,363,"{""website"": ""www.unipasby.ac.id"", ""email"": ""admin@unipasby.ac.id"", ""phone"": ""031-8281181""}","Universitas PGRI Adi Buana Surabaya merupakan perguruan tinggi swasta yang didirikan pada tahun 1998 dan berada di bawah naungan Yayasan Pembina Lembaga Pendidikan Perguruan Tinggi IKIP PGRI Surabaya (YPLP-PT IKIP PGRI Surabaya). Awalnya, pada tahun 1971 terdapat perguruan tinggi bernama Institut Keguruan dan Ilmu Pendidikan (IKIP) Sarmidi Mangunsarkoro lalu berubah menjadi IKIP PGRI Surabaya di tahun 1985. Kemudian pada tahun 1998, IKIP PGRI Surabaya menggabungkan diri dengan Sekolah Tinggi Teknik Adi Buana Surabaya (STT Adi Buana Surabaya) dan menjadi Universitas PGRI Adi Buana Surabaya yang kita kenal saat ini.",{}
119,humas@unisma.ac.id,Universitas Islam Malang,Universitas Swasta,https://campus.quipper.com/directory/universitas-islam-malang,Rp3.850.000 per semester,16363,447,"{""website"": ""www.unisma.ac.id"", ""email"": ""humas@unisma.ac.id"", ""phone"": ""0341 - 551932""}","Terbentuk sejak Maret 1981, Universitas Islam Malang (UNISMA) adalah salah satu perguruan tinggi swasta yang dipelopori oleh para sarjana Muslim ahlussunnah wal jama’ah yang bertekad mendirikan suatu perguruan tinggi Islam berkualitas dan mandiri. Pada awalnya, universitas ini hanya memiliki satu fakultas yakni Fakultas Tarbiyah. Namun, saat ini UNISMA telah berhasil mengembangkan 10 fakultas dan menyediakan program diploma hingga pascasarjana. FYI, UNISMA berhasil memecahkan rekor Museum Rekor Indonesia (MURI) berupa Penandatangan Sikap Mempertahankan Ideologi Pancasila dan Bentuk Negara Republik Indonesia oleh Mahasiswa Terbanyak (11.680 mahasiswa) pada 6 September 2017",{}
120,info@iaknambon.ac.id,Institut Agama Kristen Negeri Ambon,Institut Negeri,https://campus.quipper.com/directory/institut-agama-kristen-negeri-ambon,Rp0-Rp1.500.000 per semester,1118,108,"{""website"": ""www.iaknambon.ac.id"", ""email"": ""info@iaknambon.ac.id"", ""phone"": ""0911-346161""}","Sebelum berubah status menjadi institut pada tahun 2018, Institut Agama Kristen Negeri (IAKN) Ambon sempat terdaftar sebagai Akademi Pendidikan Guru Agama Kristen yang kemudian berganti nama menjadi Sekolah Tinggi Agama Kristen Protestan Negeri Ambon di tahun 1999. Saat ini, IAKN Ambon memiliki tiga fakultas yang mengelola program sarjana (S1) yakni Fakultas Ilmu Pendidikan Kristen, Fakultas Ilmu Sosial Keagamaan, dan Fakultas Seni Keagamaan. Selain program S1, IAKN juga membuka program Pascasarjana untuk jenjang magister (S2) dan doktor (S3).",{}
121,admisi@seabs.ac.id,Sekolah Tinggi Teologi SAAT,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-teologi-saat,Rp2.700.000-Rp3.300.000 per semester,273,20,"{""website"": ""www.seabs.ac.id"", ""email"": ""admisi@seabs.ac.id"", ""phone"": ""0341-559400, 087859960900""}","Tahukah Quipperian, Sekolah Tinggi Teologi Seminari Alkitab Asia Tenggara (SAAT) didirikan pada tahun 1952 oleh Pdt. Dr. Andrew Gih untuk menjawab kebutuhan akan minimnya hamba Tuhan di Indonesia pada masa itu. Pada perjalanan kedua beliau dari Tiongkok ke Indonesia, Dr. Gih bertemu dengan beberapa pemimpin gereja di Bandung yang mengungkapkan bahwa keberadaan sekolah Alkitab yang dapat mendidik hamba-hamba Tuhan masih sangat langka di Indonesia.",{}
122,info@stiamak.ac.id,Sekolah Tinggi Ilmu Administrasi & Manajemen Kepelabuhan (STIAMAK) Barunawati Surabaya,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-administrasi-manajemen-kepelabuhan-stiamak-barunawati-surabaya,Rp700.000 - Rp850.000 per bulan,548,15,"{""website"": ""www.stiamak.ac.id"", ""email"": ""info@stiamak.ac.id"", ""phone"": ""(+62)31- 3291096""}","Sekolah Tinggi Ilmu Administrasi & Manajemen Kepelabuhan (STIAMAK) Barunawati Surabaya diberikan izin untuk beroperasi pada tahun 2004 dengan membuka beberapa program studi yakni D3 Administrasi Niaga, D3 Ketatalaksanaan Pelayaran Niaga dan Kepelabuhan, serta S1 Administrasi Niaga. Namun saat ini, STIAMAK Barunawati Surabaya hanya menyediakan satu program studi yaitu S1 Ilmu Administrasi Bisnis dan telah terakreditasi oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT).",{}
123,corporatesecretary@stiami.ac.id,Institut Ilmu Sosial dan Manajemen STIAMI,Institut Swasta,https://campus.quipper.com/directory/institut-ilmu-sosial-dan-manajemen-stiami,,7919,308,"{""website"": ""www.stiami.ac.id"", ""email"": ""corporatesecretary@stiami.ac.id"", ""phone"": ""(021) 4213380""}","Institut Ilmu Sosial dan Manajemen STIAMI didirikan pada tahun 1983 dengan nama Sekolah Tinggi Ilmu Administrasi Mandala Indonesia (STIAMI). Pada awal berdiri, kampus ini memiliki dua program studi yakni S1 Administrasi Fiskal dan S1 Administrasi Niaga. Kemudian pada tahun 2015, STIAMI resmi berubah nama menjadi Institut Ilmu Sosial dan Manajemen STIAMI (Institut STIAMI). Saat ini, Institut STIAMI menyediakan 3 jenjang pendidikan yaitu diploma, sarjana, dan pascasarjana dengan berbagai macam bidang keilmuan.",{}
124,universitas@unmer-madiun.ac.id,Universitas Merdeka Madiun (UNMER Madiun),Universitas Swasta,https://campus.quipper.com/directory/universitas-merdeka-madiun-unmer-madiun,,2292,85,"{""website"": ""www.unmermadiun.ac.id"", ""email"": ""universitas@unmer-madiun.ac.id"", ""phone"": ""0351464427""}","Universitas Merdeka Madiun merupakan perguruan tinggi swasta di bawah naungan Yayasan Pendidikan Tinggi Merdeka Madiun (YAPERTIMMA). Pada awalnya, Universitas Merdeka Madiun merupakan cabang Universitas Merdeka Malang di Madiun dan hanya membuka dua fakultas yaitu Fakultas Ekonomi dan Fakultas Pertanian. Namun, saat ini Universitas Merdeka Madiun memiliki lima fakultas dengan sembilan program studi yang telah terakreditasi oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT).",{}
125,humas@pnn.ac.id,Politeknik Negeri Nunukan,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-negeri-nunukan,Rp500.000 - Rp2.500.000 per semester,366,40,"{""website"": ""www.pnn.ac.id"", ""email"": ""humas@pnn.ac.id"", ""phone"": null}","Politeknik Negeri Nunukan (PNN) sebelumnya berada di bawah binaan Politeknik Negeri Samarinda. Namun, kini telah berubah status menjadi perguruan tinggi negeri dan berdiri sendiri. Saat ini, PNN menjadi satu-satunya Politeknik Negeri di Provinsi Kalimantan Utara dan menyediakan empat program studi. PNN menawarkan biaya kuliah yang terjangkau, didukung dengan pengajar berpengalaman, serta fasilitas yang memadai.",{}
